model,lr,hidden_size,batch_size,pooling_style,epoch,acc,execution_time
lstm,0.001,768,64,avg,15,0.80673109,2.616006613
lstm,0.001,768,64,max,1,0.828723759,2.981983423
lstm,0.001,768,64,max,2,0.831056315,2.998981953
lstm,0.001,768,64,max,3,0.845051649,2.967067242
lstm,0.001,768,64,max,4,0.846384538,2.979035139
lstm,0.001,768,64,max,5,0.844051983,2.991999626
lstm,0.001,768,64,max,6,0.841386205,2.977040529
lstm,0.001,768,64,max,7,0.82739087,2.970059156
lstm,0.001,768,64,max,8,0.842052649,2.99000597
lstm,0.001,768,64,max,9,0.830723092,3.010950089
lstm,0.001,768,64,max,10,0.82739087,2.981029749
lstm,0.001,768,64,max,11,0.803732089,3.100709438
lstm,0.001,768,64,max,12,0.813395535,3.001974106
lstm,0.001,768,64,max,13,0.821059647,2.990005732
lstm,0.001,768,64,max,14,0.8023992,2.994992256
lstm,0.001,768,64,max,15,0.826057981,3.012944221
lstm,0.001,768,128,avg,1,0.835721426,1.609653234
lstm,0.001,768,128,avg,2,0.849716761,1.599725246
lstm,0.001,768,128,avg,3,0.843385538,1.608698845
lstm,0.001,768,128,avg,4,0.840386538,1.632634878
lstm,0.001,768,128,avg,5,0.840053316,1.602715015
lstm,0.001,768,128,avg,6,0.834721759,1.615680695
lstm,0.001,768,128,avg,7,0.824725092,1.609695911
lstm,0.001,768,128,avg,8,0.824725092,1.603712559
lstm,0.001,768,128,avg,9,0.825724758,1.604709625
lstm,0.001,768,128,avg,10,0.814395202,1.610693455
lstm,0.001,768,128,avg,11,0.816394535,1.60770154
lstm,0.001,768,128,avg,12,0.822392536,1.611691475
lstm,0.001,768,128,avg,13,0.816061313,1.606705189
lstm,0.001,768,128,avg,14,0.814061979,1.607702017
lstm,0.001,768,128,avg,15,0.814061979,1.606704473
lstm,0.001,768,128,max,1,0.770743086,1.966698885
lstm,0.001,768,128,max,2,0.80973009,1.956768274
lstm,0.001,768,128,max,3,0.836387871,1.972725391
